Lynn Wu,2149186572
B. Hopkins,2973352026
David Rolnick,2125877594
Moshe Sipper,2001962658
Mark Rosen,2422113678
Hongzhe Li,2119815381
Mark Eisen,2109739122
Joseph Romano,2257096315
Angel Pizarro,2100624478
Michael Kahana,275101540
J. Tomaszeweski,347403524
Barry Silverman,2114937543
Houssam Abbas,2132317419
Gerd Hillebrand,2695935564
Daphne Ippolito,2799006035
Casey Greene,2781361955
Gregory Grant,2778668557
Arun Raghavan,2165830586
Kokil Jaidka,1805043481
Christian Murphy,2266329404
John Sonchack,287158083
Zhiyi Song,2618033191
Jean Gallier,740894910_https://scholar.google.com/citations?hl=en&user=kYK4tvsAAAAJ
Arjun Yodh,2016001002
Jimit Doshi,2331385718
Mitch Marcus,2099949407
João Sedoc,2554339368
John Detre,1086743328
Spyridon Bakas,2558469750
M. Hsieh,2126850231
Hartmut Liefke,1179716466
Libin Shen,2161198055
Hamed Akbari,2118835879
Sanjian Chen,2097245279_https://scholar.google.com/citations?hl=en&user=VoeY73QAAAAJ
José Luna,2144772322
William McMahan,2032708478
Mirkó Visontai,246402936
Xilin Liu,2138667928
Andrew King,2220981557
Andrew Richardson,2128530830
Michel Bilello,1977383535
Shaanan Cohney,2408482006
Changbin Liu,2126004076
Nicholas Lahens,2049220143
Carlos Esteves,2751546535
Li-San Wang,2171003839
Yang Li,2716030107
Adwait Ratnaparkhi,2777253688
Edward George,2347934206
Weiyu Huang,2168597804
Santosh Venkatesh,2270127514
Arnaud Sahuguet,116842873
Chris Jordan,2902181561
Wenpeng Yin,1970544490
Suleman Surti,2053105470
Benjamin Kandel,2233106450
Birkan Tunç,2557306848
Saleem Kassam,1963719823
Geoffrey Washburn,2047777066
Benjamin Cohen,2119433776
Anthony Cowley,2196224623
Wiem Lassoued,2088102133
William Lee,2423641427
Fu-Dong Chiou,1982211794
Susan Yoon,2114988781
J. Armstrong,2096701197
Konstantinos Mamouras,156069590
Jaewoo Lee,3037396442
Qihui Zhu,2148489660
Kenneth Foster,2167700914
Yubing Tong,2157120204
Drew Torigian,110694181
Alexander Shoulson,1232380744
Bruno Barufaldi,2328074266
Yash Mulgaonkar,225595096
Shyam Upadhyay,2196028422
Salvatore Giorgi,2593249665
Shahin Jabbari,2565220830
Ankit Khambhati,2219755194
Anaheed Ayoub,1983713044
Anneke Buffone,2574391793
Bo Waggoner,2126680417
Tiantian Liu,2227540331
